City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Punakha,BT,71.91,scattered clouds,27.5837,89.8598,Kunzang Zhing Resort
279,Fort Nelson,CA,79.2,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
284,Surt,LY,78.28,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
285,Artyom,AZ,73.54,clear sky,40.4723,50.333,Pir hos
291,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
292,La Ronge,CA,72.45,broken clouds,55.1001,-105.2842,Northland Motor Hotel
296,Katsuura,JP,72.79,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
304,Novokayakent,RU,77.7,clear sky,42.3937,47.9861,"Baza Otdykha ""Svyazist"""
305,Jimeta,NG,77.18,light rain,9.2833,12.4667,Yola International Hotel
310,Isangel,VU,71.71,broken clouds,-19.55,169.2667,Tanna Lodge
311,Kokopo,PG,77.99,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
313,Guiyang,CN,70.59,overcast clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
314,Payo,ID,72.57,overcast clouds,-3.7508,103.6372,Mess keban agung
318,San Pedro,PH,78.03,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
321,Orodara,BF,70.92,overcast clouds,10.9492,-4.9342,Bkf Orodara
326,Kutina,HR,70.07,few clouds,45.475,16.7819,Hotel Kutina
331,Labuhan,ID,75.6,light rain,-6.8844,112.2051,DoubleFAG
332,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
336,Bangkalan,ID,75.15,scattered clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
337,Korla,CN,73.67,scattered clouds,41.7597,86.1469,Gulisitan Hotel
343,Yendi,GH,74.32,overcast clouds,9.4427,-0.0099,Eyarro Lodge
345,Tura,IN,75.24,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
349,Dubki,RU,70.88,clear sky,43.0225,46.8372,Pansionat Chayka
350,Sal Rei,CV,75.15,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
353,Pathein,MM,77.88,overcast clouds,16.7833,94.7333,Pathein Hotel
354,Edson,CA,77.11,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
356,Daru,PG,75.11,broken clouds,-9.0763,143.2092,Daru Lodge
359,Vila Franca Do Campo,PT,70.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
362,Khandbari,NP,73.78,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
