City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bredasdorp,ZA,-34.5322,20.0403,61.21,37,100,5.84,overcast clouds
80,Awjilah,LY,29.1081,21.2869,80.6,43,0,15.37,clear sky
81,Bubaque,GW,11.2833,-15.8333,81.01,83,43,12.1,light rain
82,Bouca,CF,6.5105,18.2733,71.33,93,100,2.13,light rain
83,Santa Catalina,PH,9.3337,122.8637,77.77,91,100,5.14,overcast clouds
84,Mersing,MY,2.4312,103.8405,78.3,86,54,6.02,broken clouds
85,Bluff,NZ,-46.6,168.3333,47.8,74,100,17.2,overcast clouds
86,Ilovlya,RU,49.3033,43.9796,69.22,71,100,7.94,light rain
87,Punta Arenas,CL,-53.15,-70.9167,33.91,86,20,10.36,few clouds
88,Port Elizabeth,ZA,-33.918,25.5701,65.82,35,26,9.46,scattered clouds
89,Tiznit,MA,29.5833,-9.5,79.83,50,43,2.19,scattered clouds
90,Esperance,AU,-33.8667,121.9,46.24,77,46,3.85,scattered clouds
91,Kruisfontein,ZA,-34.0033,24.7314,64.58,26,25,9.73,scattered clouds
92,Ponta Do Sol,PT,32.6667,-17.1,73.0,79,33,7.49,scattered clouds
93,Chulman,RU,56.8479,124.9104,62.89,91,70,2.46,broken clouds
94,Kavieng,PG,-2.5744,150.7967,81.59,77,8,12.39,light rain
95,Lewiston,US,44.1003,-70.2148,84.72,40,75,11.5,broken clouds
96,Strezhevoy,RU,60.7333,77.5889,51.82,87,65,6.49,broken clouds
97,Souillac,MU,-20.5167,57.5167,68.65,79,36,14.05,light rain
98,Nikolskoye,RU,59.7035,30.7861,54.91,92,30,5.08,scattered clouds
99,Tasiilaq,GL,65.6145,-37.6368,51.96,65,97,1.25,overcast clouds
100,Bukama,CD,-9.2,25.85,76.73,32,0,4.88,clear sky
101,Vaini,TO,-21.2,-175.2,78.96,89,40,6.91,scattered clouds
102,Lufilufi,WS,-13.8745,-171.5986,76.78,69,33,22.24,scattered clouds
103,Kieta,PG,-6.2167,155.6333,78.71,83,53,4.85,light rain
104,Fairbanks,US,64.8378,-147.7164,63.61,79,75,3.44,broken clouds
